ID,Class,Rank,Attribute,,Name,,Stat,,,,,,,,,,Core Skill,,,,
,,,Primary,Secondary,EN,JP,HP,ATK,DEF,Impact,CRIT,,Anomaly,,Penetrate,EN Regen,Odd,,Even,,W-Engine
,,,,,,,,,,,Rate,Dmg,Buildup,Proficiency,,,,,,,
0,Stun,A,Electric,,,アンビー・デマラ,7500,583,612,118,5,50,94,93,0,1.2,imp,6,atk,25,0
1,Attack,A,Physical,,,ビリー・キッド,6907,712,606,91,5,50,92,91,0,1.2,critR,4.8,atk,25,28
2,Support,A,Ether,,,ニコ・デマラ,8145,574,622,80,5,50,90,93,0,1.2,enReg,0.12,atk,25,26
3,Attack,S,Physical,,,猫宮又奈,7560,835,587,92,5,50,97,96,0,1.2,critR,4.8,atk,25,35
4,Attack,S,Fire,,,「11号」,7673,813,612,93,5,50,94,93,0,1.2,critR,4.8,atk,25,36
5,Attack,A,Physical,,,カリン・ウィクス,6976,732,604,93,5,50,93,96,0,1.2,critD,9.6,atk,25,27
6,Attack,A,Electric,,,アンドー・イワノフ,7219,716,622,95,5,50,86,90,0,1.2,critR,4.8,atk,25,29
7,Defense,A,Fire,,,ベン・ビガー,8577,867,724,95,5,50,86,90,0,1.2,enReg,0.12,atk,25,30
8,Stun,S,Fire,,,クレタ・ベロボーグ,8127,660,594,116,5,50,97,96,0,1.2,imp,6,atk,25,37
9,Anomaly,S,Electric,,,グレース・ハワード,7482,750,600,83,5,50,115,116,0,1.2,anmB,12,atk,25,39
10,Stun,S,Ice,,,フォン・ライカン,8416,653,606,119,5,50,91,90,0,1.2,imp,6,atk,25,38
11,Attack,S,Ice,,,エレン・ジョー,7673,863,606,93,5,50,94,93,0,1.2,critR,4.8,atk,25,40
12,Support,S,Electric,,,アレクサンドリナ・セバスチャン,8609,642,600,83,5,50,93,92,0,1.2,penP,4.8,atk,25,41
13,Attack,S,Ether,,,朱鳶,7482,844,600,90,5,50,93,92,0,1.2,critD,9.6,atk,25,42
14,Support,A,Ice,,,蒼角,8025,590,597,86,5,50,93,96,0,1.2,enReg,0.12,atk,25,31
15,Support,A,Fire,,,ルシアーナ・デ・モンテフィーノ,8025,583,612,86,5,50,94,93,0,1.2,enReg,0.12,atk,25,43
16,Anomaly,A,Physical,,,パイパー・ウィール,6976,683,612,86,5,50,116,118,0,1.2,enReg,0.12,atk,25,44
17,Stun,S,Electric,,,青衣,8250,683,612,118,5,50,94,93,0,1.2,imp,6,atk,25,46
18,Anomaly,S,Physical,,,ジェーン・ドゥ,7788,805,606,89,5,50,112,114,0,1.2,anmB,12,atk,25,47
19,Defense,A,Electric,,,セス・ローウェル,8701,568,746,94,5,50,86,90,0,1.2,enReg,0.12,atk,25,48
20,Defense,S,Physical,,,キング・シーザー,9526,636,753,105,5,50,87,90,0,1.2,imp,6,atk,25,49
21,Anomaly,S,Fire,,,バーニス・ホワイト,7368,788,600,83,5,50,118,120,0,1.2,enReg,0.12,atk,25,50
22,Anomaly,S,Electric,,,月城柳,7788,797,612,86,5,50,112,114,0,1.2,anmB,12,atk,25,51
23,Stun,S,Fire,,,ライト,8253,722,612,119,5,50,91,90,0,1.2,imp,6,atk,25,52
24,Anomaly,S,Ice,Frost,,星見雅,7673,805,606,86,5,50,116,148,0,1.2,anmP,30,atk,25,54
25,Attack,S,Electric,,,浅羽悠真,7405,840,600,90,5,50,80,95,0,1.2,critR,4.8,atk,25,55
26,Support,S,Ether,,,アストラ・ヤオ,8609,640,600,83,5,50,93,92,0,1.2,enReg,0.12,atk,25,56
27,Attack,S,Fire,,,イヴリン・シュヴァリエ,7788,854,612,93,5,50,92,90,0,1.2,critR,4.8,atk,25,57
28,Attack,S,Electric,,Soldier 0 – Anby,0号・アンビー,7673,854,612,93,5,50,94,93,0,1.2,critR,4.8,atk,25,58
29,Stun,A,Physical,,Pulchra Fellini,プルクラ・フェリーニ,7612,590,606,118,5,50,92,90,0,1.2,imp,6,atk,25,59
