id,class,rank,name,name-jp,atk,atkMax,advSt,advVal,title,desc,include,active,range,stack,comparison ,operator,,targetType,buff,grade1,grade2,grade3,grade4,grade5,active,range,stack,comparison ,operator,,targetType,buff,grade1,grade2,grade3,grade4,grade5,active,range,stack,comparison ,operator,,targetType,buff,grade1,grade2,grade3,grade4,grade5
0,Stun,A,Demara Battery Mark II,デマラ式電池Ⅱ型,42,624,imp-p,15,電光石火,電気属性ダメージ+15/17.5/20/22/24%。『回避反撃』または『支援攻撃』が敵に命中した時、装備者のエネルギー獲得効率+18/20.5/23/25/27.5%、継続時間8秒。,TRUE,auto,self,,,,,stat,bonus-ele,15,17.5,20,22,24,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Attack,B,[Lunar] Pleniluna,「月相」‐望,32,475,atk-p,20,満月,『通常攻撃』、『ダッシュ攻撃』、『回避反撃』の与ダメージ+12/14/16/18/20%。,TRUE,auto,self,,skill,equal,normal dodge,stat,bonus-dmg,12,14,16,18,20,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Attack,B,[Lunar] Decresent,「月相」‐晦,32,475,atk-p,20,残月,『連携スキル』または『終結スキル』を発動すると、装備者の与ダメージ+15/17.5/20/22.5/25%。継続時間6秒。,TRUE,select,self,,,,,stat,bonus-dmg,15,17.5,20,22.5,25,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Attack,B,[Lunar] Noviluna,「月相」‐朔,32,475,crit-r,16,新月,『強化特殊スキル』を発動すると、装備者のエネルギー3/3.5/4/4.5/5Pt回復する、12秒に1回のみ発動可能。,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Support,B,[Reverb] Mark I,「残響」‐Ⅰ型,32,475,atk-p,20,潮汐,『強化特殊スキル』を発動すると、チーム全体の衝撃力+8/9/10/11/12%、継続時間10秒。20秒に1回のみ発動可能。同じパッシブ効果は重ね掛け不可。,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Support,B,[Reverb] Mark II,「残響」‐Ⅱ型,32,475,en-reg,40,音波,『強化特殊スキル』または『連携スキル』を発動すると、チーム全体の異常掌握と異常マスタリー+10/12/13/15/16Pt、継続時間10秒。20秒に1回のみ発動可能。同じパッシブ効果は重ね掛け不可。,TRUE,select,team,,,,,stat,anm-b,10,12,13,15,16,additional,team,,,,,stat,anm-p,10,12,13,15,16,,,,,,,,,,,,,
6,Support,B,[Reverb] Mark III,「残響」‐Ⅲ型,32,475,hp-p,20,強音,『連携スキル』または『終結スキル』を発動すると、チーム全体の攻撃力+8/9/10/11/12%、継続時間10秒。20秒に1回のみ発動可能。同じパッシブ効果は重ね掛け不可。,TRUE,select,team,,,,,stat,atk-p,8,9,10,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Stun,B,[Vortex] Revolver,「激流」‐銃型,32,475,atk-p,20,暗流,『強化特殊スキル』の与えるブレイク値+10/11.5/13/14.5/16%。,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Stun,B,[Vortex] Arrow,「激流」‐矢型,32,475,imp-p,12,大波,攻撃が敵に命中すると、装備者がメインターゲットに与えるブレイク値+8/9/10/11/12%。,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Stun,B,[Vortex] Hatchet,「激流」‐斧型,32,475,en-reg,40,急潮,接敵状態突入時、または出場した時、装備者の衝撃力+9/10/11/12/13%、継続時間10秒。20秒に1回のみ発動可能。,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
