class,rank,name,name-jp,atk,atkMax,advSt,advVal,passive-buff,i1-value,i5-value
Attack,S,Deep Sea Visitor,ディープシー・ビジター,48,713,crit-r,24,bonus-ice,25,50
Attack,S,Heartstring Nocturne,心弦のノクターン,48,713,crit-r,24,crit-d,50,80
Attack,S,Riot Suppressor Mark VI,サプレッサーⅣ型,48,713,crit-d,48,crit-r,15,26.4
Attack,S,Steel Cushion,鋼の肉球,46,684,crit-r,24,bonus-phy,20,40
Attack,S,The Brimstone,ブリムストーン,46,684,atk-p,30,,,
Attack,S,Zanshin Herb Case,残心の青籠,48,713,crit-d,48,crit-r,10,16
Attack,A,Cannon Rotor,キャノンローラー,40,594,crit-r,20,atk-p,7.5,10.8
Attack,A,Drill Rig - Red Axis,ドリルリグ‐レッドシャフト,42,624,en-reg,50,,,
Attack,A,Housekeeper,ハウスキーパー,42,624,atk-p,25,,,
Attack,A,Marcato Desire,強音デザイア,40,594,crit-r,20,,,
Attack,A,,金メッキの花信,40,594,atk-p,25,atk-p,6,9.6
Attack,A,Starlight Engine,スターライトエンジン,40,594,atk-p,25,,,
Attack,A,Starlight Engine Replica,なんちゃってスターライトエンジン,42,624,atk-p,25,,,
Attack,A,Street Superstar,ストリートスター,40,594,atk-p,25,,,
Attack,B,[Lunar] Decresent,「月相」‐晦,32,475,atk-p,20,,,
Attack,B,[Lunar] Noviluna,「月相」‐朔,32,475,crit-r,16,,,
Attack,B,[Lunar] Pleniluna,「月相」‐望,32,475,atk-p,20,,,
Anomaly,S,Flamemaker Shaker,バーニング・シェイカー,48,713,atk-p,30,,,
Anomaly,S,Fusion Compiler,複合コンパイラ,46,684,pen-p,24,atk-p,12,21
Anomaly,S,Hailstorm Shrine,あられ落つ星殿,50,743,crit-r,24,crit-d,50,80
Anomaly,S,Sharpened Stinger,磨き抜かれた切っ先,48,713,anm-p,90,,,
Anomaly,S,Timeweaver,刻流の賢者,48,713,atk-p,30,,,
Anomaly,A,Electro-Lip Gloss,電撃リップグロス,40,594,anm-p,75,,,
Anomaly,A,Rainforest Gourmet,密林の食いしん坊,40,594,anm-p,75,,,
Anomaly,A,Roaring Ride,グロウル・マイ・カー,42,624,atk-p,25,,,
Anomaly,A,Weeping Gemini,双生の涙,40,594,atk-p,25,,,
Anomaly,B,[Magnetic Storm] Alpha,「磁気嵐」‐壱式,32,475,atk-p,20,,,
Anomaly,B,[Magnetic Storm] Bravo,「磁気嵐」‐弐式,32,475,anm-p,68,,,
Anomaly,B,[Magnetic Storm] Charlie,「磁気嵐」‐参式,32,475,pen-p,16,,,
Stun,S,Blazing Laurel,炎心の桂冠,48,713,imp-p,18,,,
Stun,S,Helfire Gears,燃獄ギア,46,684,imp-p,18,,,
Stun,S,Ice-Jade Teapot,玉壺青氷,48,713,imp-p,18,,,
Stun,S,The Restrained,束縛されし者,46,684,imp-p,18,,,
Stun,A,Demara Battery Mark II,デマラ式電池Ⅱ型,42,624,imp-p,15,bonus-ele,15,24
Stun,A,Precious Fossilized Core,貴重な化石コア,40,594,imp-p,15,,,
Stun,A,Six Shooter,シックスシューター,40,594,imp-p,15,,,
Stun,A,Steam Oven,まな板の鯉,40,594,en-reg,50,,,
Stun,B,[Vortex] Arrow,「激流」‐矢型,32,475,imp-p,12,,,
Stun,B,[Vortex] Hatchet,「激流」‐斧型,32,475,en-reg,40,,,
Stun,B,[Vortex] Revolver,「激流」‐銃型,32,475,atk-p,20,,,
Defense,S,Tusks of Fury,猛進するキバ,48,713,imp-p,18,,,
Defense,A,Big Cylinder,ビガー・シリンダー,42,624,def-p,40,,,
Defense,A,Bunny Band,ラビットチャージャー,40,594,def-p,40,hp-p,8,11.6
Defense,A,Original Transmorpher,正式版変身装置,40,594,hp-p,25,hp-p,8,25
Defense,A,Peacekeeper ‐ Specialized,秩序の守り手・特化型,42,624,atk-p,25,,,
Defense,A,Spring Embrace,ホットスプリング,40,594,atk-p,25,,,
Defense,B,[Identity] Base,「恒等式」‐本格,32,475,def-p,32,,,
Defense,B,[Identity] Inflection,「恒等式」‐変格,32,475,def-p,32,,,
Support,S,Elegant Vanity,優美のヴァニティ,48,713,atk-p,30,,,
Support,S,Weeping Cradle,啜り泣くゆりかご,46,684,pen-p,24,,,
Support,A,Bashful Demon,恥じらう悪面,42,624,atk-p,25,bonus-ice,15,22
Support,A,Kaboom the Cannon,喧嘩腰のボンバルダム,42,624,en-reg,50,,,
Support,A,Slice of Time,歳月の薄片,40,594,pen-p,20,,,
Support,A,The Vault,ザ・ボールト,42,624,en-reg,50,,,
Support,A,Unfettered Game Ball,ゲームボール,40,594,en-reg,50,,,
Support,B,[Reverb] Mark I,「残響」‐Ⅰ型,32,475,atk-p,20,,,
Support,B,[Reverb] Mark II,「残響」‐Ⅱ型,32,475,en-reg,40,,,
Support,B,[Reverb] Mark III,「残響」‐Ⅲ型,32,475,hp-p,20,,,
